ingredient_id,tag_type,tag,source,created_at,food_subgroup
151bcb84-0e1b-44b6-9d9e-c63e7614cf01,role,role_iron,system,2026-02-04T04:40:40.383298,meat_lean
151bcb84-0e1b-44b6-9d9e-c63e7614cf01,role,role_vit_b12,system,2026-02-04T04:40:40.383298,meat_lean
29cb2618-d853-46dc-9f79-d9b0346de23c,role,role_fiber_source,system,2026-02-04T04:40:40.383298,plant_orange
29cb2618-d853-46dc-9f79-d9b0346de23c,role,role_vita,system,2026-02-04T04:40:40.383298,plant_orange
4223f124-54be-44ef-bd70-61efaa9487e3,role,role_iron,system,2026-02-04T04:40:40.383298,organ_liver
4223f124-54be-44ef-bd70-61efaa9487e3,role,role_vit_b12,system,2026-02-04T04:40:40.383298,organ_liver
4223f124-54be-44ef-bd70-61efaa9487e3,role,role_vita,system,2026-02-04T04:40:40.383298,organ_liver
4223f124-54be-44ef-bd70-61efaa9487e3,role,role_thiamine,system,2026-02-04T04:40:40.383298,organ_liver
4223f124-54be-44ef-bd70-61efaa9487e3,role,role_choline,system,2026-02-04T04:40:40.383298,organ_liver
44ef0e70-d406-40dc-91f8-685d766cfdbb,role,role_fiber_source,system,2026-02-04T04:40:40.383298,plant_green
44ef0e70-d406-40dc-91f8-685d766cfdbb,role,role_vita,system,2026-02-04T04:40:40.383298,plant_green
456c1f45-6c6a-4ab8-8518-75afcdc772c8,role,role_calcium_source,system,2026-02-04T04:40:40.383298,supplement_other
5851a21b-d91d-4e36-8c96-ec82b7486ab7,role,role_omega3_lc,system,2026-02-04T04:40:40.383298,fish_oily
5851a21b-d91d-4e36-8c96-ec82b7486ab7,role,role_vit_b12,system,2026-02-04T04:40:40.383298,fish_oily
5851a21b-d91d-4e36-8c96-ec82b7486ab7,role,role_vit_d,system,2026-02-04T04:40:40.383298,fish_oily
5851a21b-d91d-4e36-8c96-ec82b7486ab7,role,role_thiamine,system,2026-02-04T04:40:40.383298,fish_oily
67ab6618-fac5-495a-8e23-20bcde444dec,role,role_fiber_source,system,2026-02-04T04:40:40.383298,carb_grain
731e79d8-e7ad-4c26-b63c-553e62c7004f,role,role_iron,system,2026-02-04T04:40:40.383298,supplement_other
731e79d8-e7ad-4c26-b63c-553e62c7004f,role,role_fiber_source,system,2026-02-04T04:40:40.383298,supplement_other
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,role,role_omega6_la,system,2026-02-04T04:40:40.383298,oil_other
8377a963-eb2c-4b5e-8f3d-71cdf0041ff1,role,role_omega3_ala,system,2026-02-04T04:40:40.383298,oil_other
91be149f-bf77-454b-b4d6-0c18b1ac7f81,role,role_fiber_source,system,2026-02-04T04:40:40.383298,plant_blue
9eb522a9-7f41-4267-9c8f-9d1151cff430,role,role_iron,system,2026-02-04T04:40:40.383298,organ_liver
9eb522a9-7f41-4267-9c8f-9d1151cff430,role,role_vit_b12,system,2026-02-04T04:40:40.383298,organ_liver
9eb522a9-7f41-4267-9c8f-9d1151cff430,role,role_vita,system,2026-02-04T04:40:40.383298,organ_liver
9eb522a9-7f41-4267-9c8f-9d1151cff430,role,role_vit_d,system,2026-02-04T04:40:40.383298,organ_liver
9eb522a9-7f41-4267-9c8f-9d1151cff430,role,role_choline,system,2026-02-04T04:40:40.383298,organ_liver
d33d7be1-6220-4aee-92c6-b39f3d075835,role,role_iron,system,2026-02-04T04:40:40.383298,organ_secreting
d33d7be1-6220-4aee-92c6-b39f3d075835,role,role_vit_b12,system,2026-02-04T04:40:40.383298,organ_secreting
d33d7be1-6220-4aee-92c6-b39f3d075835,role,role_vit_d,system,2026-02-04T04:40:40.383298,organ_secreting
d33d7be1-6220-4aee-92c6-b39f3d075835,role,role_choline,system,2026-02-04T04:40:40.383298,organ_secreting
dbdcd936-f310-4fdd-860a-6d151ce66222,role,role_omega6_la,system,2026-02-04T04:40:40.383298,oil_omega6_la
e56fee29-4cea-410d-a32f-389a93fb803b,role,role_vit_d,system,2026-02-04T04:40:40.383298,egg
e56fee29-4cea-410d-a32f-389a93fb803b,role,role_choline,system,2026-02-04T04:40:40.383298,egg
f22334e9-45c0-437a-a57c-c1ccf409697e,role,role_omega3_lc,system,2026-02-04T04:40:40.383298,mineral_shellfish
f22334e9-45c0-437a-a57c-c1ccf409697e,role,role_iron,system,2026-02-04T04:40:40.383298,mineral_shellfish
f22334e9-45c0-437a-a57c-c1ccf409697e,role,role_vit_b12,system,2026-02-04T04:40:40.383298,mineral_shellfish
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,role,role_omega6_la,system,2026-02-04T04:40:40.383298,meat_fat
fb2cdf5e-f839-4291-8b9b-705d580230f8,role,role_omega3_lc,system,2026-02-04T04:40:40.383298,oil_omega3_lc
fb2cdf5e-f839-4291-8b9b-705d580230f8,role,role_vita,system,2026-02-04T04:40:40.383298,oil_omega3_lc
fb2cdf5e-f839-4291-8b9b-705d580230f8,role,role_vit_d,system,2026-02-04T04:40:40.383298,oil_omega3_lc
fce20ffe-2ffa-4ca7-80c3-95d350c276b1,role,role_vit_b12,system,2026-02-04T04:40:40.383298,fish_lean
fce20ffe-2ffa-4ca7-80c3-95d350c276b1,role,role_vit_d,system,2026-02-04T04:40:40.383298,fish_lean
fce20ffe-2ffa-4ca7-80c3-95d350c276b1,role,role_choline,system,2026-02-04T04:40:40.383298,fish_lean
5851a21b-d91d-4e36-8c96-ec82b7486ab7,risk,risk_high_iodine,system,2026-02-04T04:40:40.383298,fish_oily
5851a21b-d91d-4e36-8c96-ec82b7486ab7,risk,risk_high_vit_d,system,2026-02-04T04:40:40.383298,fish_oily
8d62fbf2-9881-4966-ade0-98dac7636b0b,risk,risk_high_iodine,system,2026-02-04T04:40:40.383298,supplement_other
8d62fbf2-9881-4966-ade0-98dac7636b0b,risk,risk_high_sodium,system,2026-02-04T04:40:40.383298,supplement_other
